incident_id,rule_id,rule_version,result
INC-20260218-ed45ea9b21,GR-002,1,prevented
INC-20260218-ed45ea9b21,GR-003,1,not_applicable
INC-20260218-ed45ea9b21,GR-004,1,not_applicable
INC-20260218-ed45ea9b21,GR-005,2,prevented
INC-20260218-ed45ea9b21,GR-006,1,not_applicable
INC-20260218-ed45ea9b21,GR-007,1,not_applicable
INC-20260218-ed45ea9b21,GR-008,2,prevented
INC-20260219-ecc15106a6,GR-001,1,prevented
INC-20260219-ecc15106a6,GR-002,1,not_applicable
INC-20260219-ecc15106a6,GR-003,1,not_applicable
INC-20260219-ecc15106a6,GR-004,1,not_applicable
INC-20260219-ecc15106a6,GR-005,2,not_applicable
INC-20260219-ecc15106a6,GR-006,1,not_applicable
INC-20260219-ecc15106a6,GR-007,1,not_applicable
INC-20260219-ecc15106a6,GR-008,2,not_applicable
INC-20260219-8b180f52c1,GR-001,1,prevented
INC-20260219-8b180f52c1,GR-002,1,prevented
INC-20260219-8b180f52c1,GR-003,1,not_applicable
INC-20260219-8b180f52c1,GR-004,1,not_applicable
INC-20260219-8b180f52c1,GR-005,2,prevented
INC-20260219-8b180f52c1,GR-006,1,not_applicable
INC-20260219-8b180f52c1,GR-007,1,not_applicable
INC-20260219-8b180f52c1,GR-008,2,prevented
INC-20260218-b3f5304b9c,GR-001,1,not_applicable
INC-20260218-b3f5304b9c,GR-002,1,not_applicable
INC-20260218-b3f5304b9c,GR-003,1,not_applicable
INC-20260218-b3f5304b9c,GR-004,1,not_applicable
INC-20260218-b3f5304b9c,GR-005,2,not_applicable
INC-20260218-b3f5304b9c,GR-006,1,not_applicable
INC-20260218-b3f5304b9c,GR-007,1,not_applicable
INC-20260218-b3f5304b9c,GR-008,2,not_applicable
INC-20260218-45da771052,GR-001,1,not_applicable
INC-20260218-45da771052,GR-002,1,not_applicable
INC-20260218-45da771052,GR-003,1,not_applicable
INC-20260218-45da771052,GR-004,1,not_applicable
INC-20260218-45da771052,GR-005,2,not_applicable
INC-20260218-45da771052,GR-006,1,not_applicable
INC-20260218-45da771052,GR-007,1,not_applicable
INC-20260218-45da771052,GR-008,2,not_applicable
INC-20260218-8ebc707930,GR-001,1,not_applicable
INC-20260218-8ebc707930,GR-002,1,not_applicable
INC-20260218-8ebc707930,GR-003,1,not_applicable
INC-20260218-8ebc707930,GR-004,1,not_applicable
INC-20260218-8ebc707930,GR-005,2,not_applicable
INC-20260218-8ebc707930,GR-006,1,not_applicable
INC-20260218-8ebc707930,GR-007,1,not_applicable
INC-20260218-8ebc707930,GR-008,2,not_applicable
INC-20260218-f045c3a692,GR-001,1,not_applicable
INC-20260218-f045c3a692,GR-002,1,not_applicable
INC-20260218-f045c3a692,GR-003,1,not_applicable
INC-20260218-f045c3a692,GR-004,1,not_applicable
INC-20260218-f045c3a692,GR-005,2,not_applicable
INC-20260218-f045c3a692,GR-006,1,not_applicable
INC-20260218-f045c3a692,GR-007,1,not_applicable
INC-20260218-f045c3a692,GR-008,2,not_applicable
INC-20260218-4826ba31fd,GR-001,1,prevented
INC-20260218-4826ba31fd,GR-002,1,not_applicable
INC-20260218-4826ba31fd,GR-003,1,not_applicable
INC-20260218-4826ba31fd,GR-004,1,prevented
